epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
9,2.99444,2.24596,3.05382,1.97648,0.20257,0.54167,0.15979,0.08754,2.48969,7.28877,2.18659,7.31648e-05,7.31648e-05,7.31648e-05
10,3.31572,2.58232,3.17832,2.29533,0.26167,0.54167,0.17735,0.07447,2.44456,10.904,2.16974,7.6523e-05,7.6523e-05,7.6523e-05
1,0.389692,2.53968,5.40012,1.86787,0.00633,0.35417,0.01042,0.00328,2.36541,4.53811,2.15901,0,0,0
2,0.714401,2.91195,4.55635,2.23703,0.00779,0.4375,0.01262,0.00343,2.35317,4.50229,2.16014,1.36469e-05,1.36469e-05,1.36469e-05
3,0.983964,2.95865,4.18476,2.3186,0.00784,0.4375,0.01246,0.00337,2.36601,4.46206,2.1677,2.60078e-05,2.60078e-05,2.60078e-05
4,1.19133,2.8844,4.63867,2.2424,0.00783,0.4375,0.01107,0.00322,2.37521,4.43532,2.17973,3.70825e-05,3.70825e-05,3.70825e-05
5,1.42459,1.94834,4.92766,1.82557,0.0063,0.35417,0.02454,0.01094,2.37963,4.07457,2.17693,4.68712e-05,4.68712e-05,4.68712e-05
6,1.83744,2.59686,3.69703,2.28152,0.08145,0.35417,0.12308,0.07528,2.42103,4.35827,2.18264,5.53737e-05,5.53737e-05,5.53737e-05
7,2.24415,2.64825,3.70825,2.45714,0.33646,0.34136,0.15856,0.09116,2.43127,5.54174,2.1798,6.25902e-05,6.25902e-05,6.25902e-05
8,2.67192,1.89606,3.98791,1.98131,0.33357,0.33742,0.1586,0.09127,2.43471,5.37574,2.17844,6.85205e-05,6.85205e-05,6.85205e-05
9,3.0643,2.24596,3.05382,1.97648,0.20257,0.54167,0.15979,0.08754,2.48969,7.28877,2.18659,7.31648e-05,7.31648e-05,7.31648e-05
10,3.38928,2.58232,3.17832,2.29533,0.26167,0.54167,0.17735,0.07447,2.44456,10.904,2.16974,7.6523e-05,7.6523e-05,7.6523e-05
11,4.24881,2.27482,3.65587,2.11957,0.26044,0.53851,0.17743,0.07444,2.4442,10.5828,2.16935,7.8595e-05,7.8595e-05,7.8595e-05
12,4.61766,1.73598,3.25916,1.74108,0.35286,0.14583,0.15669,0.06621,2.41299,10.3372,2.15398,7.93809e-05,7.93809e-05,7.93809e-05
13,5.11678,1.9994,3.57711,1.9397,0.36487,0.14583,0.15155,0.06045,2.37356,8.22967,2.13443,7.88808e-05,7.88808e-05,7.88808e-05
14,5.43831,2.01436,2.92001,2.13356,0.26753,0.14583,0.17334,0.07302,2.37512,6.56454,2.11451,7.70946e-05,7.70946e-05,7.70946e-05
15,5.749,1.9207,2.7689,1.80635,0.15582,0.22917,0.14478,0.08918,2.34423,5.74185,2.07082,7.40222e-05,7.40222e-05,7.40222e-05
16,6.06712,2.20824,2.79209,1.98448,0.17446,0.22917,0.14968,0.09174,2.23476,5.57952,1.99495,6.96637e-05,6.96637e-05,6.96637e-05
17,6.36719,1.7983,2.62825,1.71167,0.20632,0.22917,0.15961,0.10492,2.18765,5.30842,1.97237,6.40192e-05,6.40192e-05,6.40192e-05
18,6.7569,1.8642,2.73387,1.52005,0.27534,0.29167,0.18174,0.11663,2.16875,5.37394,1.96975,5.70886e-05,5.70886e-05,5.70886e-05
19,7.1587,1.86393,2.84716,1.69468,0.2737,0.41667,0.18824,0.11902,2.16939,5.39545,1.96471,4.88718e-05,4.88718e-05,4.88718e-05
20,7.54648,1.74001,2.35751,1.63572,0.2469,0.47917,0.19823,0.12042,2.15464,5.65389,1.96123,3.9369e-05,3.9369e-05,3.9369e-05
1,0.360411,2.53968,5.40012,1.86787,0.00633,0.35417,0.01042,0.00328,2.36541,4.53811,2.15901,0,0,0
2,0.671129,2.91195,4.55635,2.23703,0.00779,0.4375,0.01262,0.00343,2.35317,4.50229,2.16014,1.36469e-05,1.36469e-05,1.36469e-05
3,0.932542,2.95865,4.18476,2.3186,0.00784,0.4375,0.01246,0.00337,2.36601,4.46206,2.1677,2.60078e-05,2.60078e-05,2.60078e-05
4,1.13986,2.8844,4.63867,2.2424,0.00783,0.4375,0.01107,0.00322,2.37521,4.43532,2.17973,3.70825e-05,3.70825e-05,3.70825e-05
5,1.38808,1.94834,4.92766,1.82557,0.0063,0.35417,0.02454,0.01094,2.37963,4.07457,2.17693,4.68712e-05,4.68712e-05,4.68712e-05
6,1.76926,2.59686,3.69703,2.28152,0.08145,0.35417,0.12308,0.07528,2.42103,4.35827,2.18264,5.53737e-05,5.53737e-05,5.53737e-05
7,2.18696,2.64825,3.70825,2.45714,0.33646,0.34136,0.15856,0.09116,2.43127,5.54174,2.1798,6.25902e-05,6.25902e-05,6.25902e-05
8,2.57396,1.89606,3.98791,1.98131,0.33357,0.33742,0.1586,0.09127,2.43471,5.37574,2.17844,6.85205e-05,6.85205e-05,6.85205e-05
9,3.01898,2.24596,3.05382,1.97648,0.20257,0.54167,0.15979,0.08754,2.48969,7.28877,2.18659,7.31648e-05,7.31648e-05,7.31648e-05
10,3.35159,2.58232,3.17832,2.29533,0.26167,0.54167,0.17735,0.07447,2.44456,10.904,2.16974,7.6523e-05,7.6523e-05,7.6523e-05
11,4.14768,2.27482,3.65587,2.11957,0.26044,0.53851,0.17743,0.07444,2.4442,10.5828,2.16935,7.8595e-05,7.8595e-05,7.8595e-05
12,4.47586,1.73598,3.25916,1.74108,0.35286,0.14583,0.15669,0.06621,2.41299,10.3372,2.15398,7.93809e-05,7.93809e-05,7.93809e-05
13,4.80193,1.9994,3.57711,1.9397,0.36487,0.14583,0.15155,0.06045,2.37356,8.22967,2.13443,7.88808e-05,7.88808e-05,7.88808e-05
14,5.26848,2.01436,2.92001,2.13356,0.26753,0.14583,0.17334,0.07302,2.37512,6.56454,2.11451,7.70946e-05,7.70946e-05,7.70946e-05
15,5.58696,1.9207,2.7689,1.80635,0.15582,0.22917,0.14478,0.08918,2.34423,5.74185,2.07082,7.40222e-05,7.40222e-05,7.40222e-05
16,5.9001,2.20824,2.79209,1.98448,0.17446,0.22917,0.14968,0.09174,2.23476,5.57952,1.99495,6.96637e-05,6.96637e-05,6.96637e-05
17,6.24806,1.7983,2.62825,1.71167,0.20632,0.22917,0.15961,0.10492,2.18765,5.30842,1.97237,6.40192e-05,6.40192e-05,6.40192e-05
18,6.63432,1.8642,2.73387,1.52005,0.27534,0.29167,0.18174,0.11663,2.16875,5.37394,1.96975,5.70886e-05,5.70886e-05,5.70886e-05
19,7.0269,1.86393,2.84716,1.69468,0.2737,0.41667,0.18824,0.11902,2.16939,5.39545,1.96471,4.88718e-05,4.88718e-05,4.88718e-05
20,7.40981,1.74001,2.35751,1.63572,0.2469,0.47917,0.19823,0.12042,2.15464,5.65389,1.96123,3.9369e-05,3.9369e-05,3.9369e-05
1,0.361249,1.44767,1.84763,1.15418,0.60405,0.61141,0.62047,0.358,1.55111,1.88141,1.44386,0,0,0
2,0.640892,1.97448,2.21002,1.59222,0.59236,0.58333,0.61328,0.35546,1.55146,1.88835,1.44313,1.06101e-05,1.06101e-05,1.06101e-05
3,0.870845,1.77079,1.99326,1.4564,0.65107,0.58333,0.60634,0.35283,1.55914,1.90033,1.44764,2.02202e-05,2.02202e-05,2.02202e-05
4,1.07968,1.75973,1.7038,1.41316,0.64833,0.58333,0.60692,0.35217,1.55887,1.90253,1.44903,2.88304e-05,2.88304e-05,2.88304e-05
