epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.81088,1.74059,2.90847,1.70363,0.24363,0.10576,0.1163,0.05466,1.88177,3.1089,1.73616,6.666e-05,6.666e-05,6.666e-05
2,4.75608,1.6121,2.72225,1.60374,0.29125,0.19297,0.22073,0.12063,1.72915,2.66172,1.61523,0.000131431,0.000131431,0.000131431
3,5.77653,1.58811,2.3401,1.5478,0.30331,0.32731,0.28854,0.16428,1.6597,2.20185,1.55054,0.000182204,0.000182204,0.000182204
4,6.74486,1.57562,1.97477,1.49861,0.29221,0.37755,0.32754,0.19236,1.5993,1.871,1.49112,0.000218978,0.000218978,0.000218978
5,7.69928,1.4953,1.72595,1.41691,0.43389,0.45852,0.41058,0.23625,1.48317,1.50232,1.39834,0.000241754,0.000241754,0.000241754
6,8.64971,1.50887,1.6045,1.41288,0.52655,0.48701,0.46982,0.27657,1.41245,1.328,1.35136,0.000250531,0.000250531,0.000250531
7,9.613,1.45988,1.5642,1.42917,0.51394,0.57321,0.51146,0.29305,1.40568,1.33805,1.32794,0.000245309,0.000245309,0.000245309
8,10.5507,1.38171,1.45983,1.34419,0.53743,0.56928,0.50952,0.29477,1.41208,1.36145,1.3246,0.000226089,0.000226089,0.000226089
9,11.5086,1.38133,1.46404,1.35931,0.55476,0.57267,0.52756,0.30194,1.4221,1.33256,1.31831,0.00019287,0.00019287,0.00019287
10,12.4463,1.37546,1.37666,1.32714,0.53195,0.58055,0.5318,0.30382,1.4213,1.27474,1.31251,0.000145652,0.000145652,0.000145652
