epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,59.6209,1.13942,0.84857,1.16735,0.80261,0.73296,0.75416,0.49097,0.95364,0.73476,1.03139,0.000417223,0.000417223,0.000417223
43,60.9331,1.20094,0.8812,1.19406,0.7857,0.72217,0.7559,0.5084,0.93359,0.7225,1.02536,0.000400302,0.000400302,0.000400302
44,62.3782,1.14276,0.83912,1.1702,0.7303,0.76133,0.75293,0.50134,0.93232,0.72043,1.02451,0.00038338,0.00038338,0.00038338
45,63.6729,1.11798,0.81464,1.14793,0.73712,0.75634,0.7574,0.50642,0.92903,0.7173,1.02304,0.000366459,0.000366459,0.000366459
46,64.9951,1.18771,0.84823,1.18437,0.77567,0.75195,0.76074,0.51583,0.9186,0.71215,1.019,0.000349538,0.000349538,0.000349538
47,66.4108,1.12208,0.80742,1.13766,0.82308,0.73209,0.76881,0.52284,0.91288,0.71542,1.01541,0.000332616,0.000332616,0.000332616
48,67.8298,1.11343,0.81051,1.15222,0.83107,0.75044,0.77347,0.53083,0.89833,0.7189,1.01046,0.000315695,0.000315695,0.000315695
49,69.2397,1.11032,0.80473,1.145,0.83491,0.74586,0.76884,0.53191,0.89411,0.72406,1.00909,0.000298774,0.000298774,0.000298774
50,70.6405,1.12756,0.82072,1.18532,0.83033,0.7374,0.76619,0.5267,0.89194,0.72183,1.00909,0.000281852,0.000281852,0.000281852
51,71.9397,1.12743,0.79134,1.12751,0.84585,0.74491,0.76986,0.52761,0.90143,0.71476,1.01264,0.000264931,0.000264931,0.000264931
52,73.2364,1.08921,0.79971,1.14347,0.84885,0.74016,0.77091,0.52674,0.9135,0.70616,1.01745,0.000248009,0.000248009,0.000248009
53,74.5374,1.09852,0.78467,1.14236,0.73725,0.79204,0.77017,0.52772,0.91124,0.69727,1.01743,0.000231088,0.000231088,0.000231088
54,75.8358,1.09255,0.78452,1.14715,0.7326,0.7399,0.7678,0.52476,0.89979,0.69082,1.01435,0.000214167,0.000214167,0.000214167
55,77.1279,1.11001,0.80494,1.16812,0.73699,0.79234,0.77097,0.52561,0.89441,0.68783,1.01119,0.000197245,0.000197245,0.000197245
56,79.255,0.92992,0.702,1.05912,0.71029,0.79067,0.76292,0.52201,0.88385,0.69779,1.00816,0.000180324,0.000180324,0.000180324
57,80.5592,0.91983,0.67175,1.05751,0.73249,0.78741,0.76317,0.51449,0.88558,0.69793,1.00773,0.000163402,0.000163402,0.000163402
58,81.8506,0.94208,0.69774,1.05189,0.71512,0.78848,0.75717,0.52028,0.89179,0.69145,1.00867,0.000146481,0.000146481,0.000146481
59,83.1468,0.97055,0.67641,1.05902,0.70928,0.78433,0.75494,0.51894,0.90199,0.68843,1.01124,0.00012956,0.00012956,0.00012956
60,84.447,0.99148,0.68666,1.07376,0.69971,0.78146,0.75385,0.51512,0.92542,0.6841,1.01798,0.000112638,0.000112638,0.000112638
61,85.7191,0.95869,0.69022,1.08794,0.68718,0.78738,0.74783,0.51391,0.92775,0.68609,1.01921,9.57169e-05,9.57169e-05,9.57169e-05
62,87.0446,0.95249,0.66193,1.05959,0.68679,0.8014,0.75183,0.50892,0.93968,0.68685,1.02211,7.87955e-05,7.87955e-05,7.87955e-05
63,88.3377,0.93527,0.67369,1.07083,0.68044,0.8014,0.75271,0.50633,0.95003,0.68476,1.02475,6.18742e-05,6.18742e-05,6.18742e-05
64,89.6446,0.93455,0.66456,1.07606,0.68707,0.80183,0.75094,0.50587,0.94849,0.68584,1.02418,4.49528e-05,4.49528e-05,4.49528e-05
