epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.70378,0.72251,0.63606,1.02395,0.55286,0.58768,0.58089,0.38063,1.27214,1.14087,1.31258,0.00018577,0.00018577,0.00018577
2,9.9461,0.70754,0.57051,1.00613,0.49907,0.59993,0.55787,0.35851,1.27354,1.25956,1.30756,0.000360365,0.000360365,0.000360365
3,15.1586,0.71384,0.5774,1.01508,0.49743,0.56458,0.52558,0.34249,1.23755,1.26928,1.28173,0.000508553,0.000508553,0.000508553
4,20.3237,0.70018,0.5804,0.99425,0.51087,0.50197,0.51168,0.334,1.23964,1.27002,1.29118,0.000630332,0.000630332,0.000630332
5,25.494,0.72039,0.58648,1.01386,0.56952,0.54619,0.5484,0.3581,1.23178,1.23961,1.29435,0.000725703,0.000725703,0.000725703
6,31.3803,0.72061,0.56023,1.01184,0.54808,0.52782,0.54518,0.35855,1.22512,1.26764,1.28427,0.000794667,0.000794667,0.000794667
7,36.5326,0.71682,0.55244,0.99938,0.57138,0.5225,0.53017,0.34372,1.2768,1.31293,1.30962,0.000837223,0.000837223,0.000837223
8,41.6011,0.69598,0.54631,0.9912,0.5766,0.54068,0.53656,0.35049,1.2601,1.26123,1.30018,0.000768802,0.000768802,0.000768802
9,46.7106,0.69589,0.55278,0.99367,0.49806,0.60457,0.52642,0.33646,1.27701,1.3125,1.30464,0.000674488,0.000674488,0.000674488
10,51.8336,0.69122,0.54212,0.99288,0.52943,0.58653,0.53412,0.34732,1.23367,1.21789,1.28737,0.000580174,0.000580174,0.000580174
11,56.9535,0.69201,0.52043,0.99505,0.46236,0.59063,0.51886,0.34133,1.22349,1.29132,1.26776,0.00048586,0.00048586,0.00048586
12,62.0582,0.66195,0.50324,0.97322,0.52332,0.51424,0.52046,0.34244,1.23239,1.25133,1.27891,0.000391546,0.000391546,0.000391546
13,67.1461,0.65104,0.48845,0.97865,0.5458,0.52743,0.53364,0.35181,1.23528,1.20245,1.28818,0.000297232,0.000297232,0.000297232
14,72.2526,0.66781,0.49116,0.98083,0.52804,0.53047,0.53987,0.35473,1.24083,1.21176,1.28945,0.000202918,0.000202918,0.000202918
15,77.3343,0.65113,0.48722,0.9841,0.4526,0.62506,0.54133,0.35522,1.23944,1.22183,1.28248,0.000108604,0.000108604,0.000108604
