epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,18.0379,2.46673,2.75061,2.25781,0.33333,0.07799,0.31514,0.20921,2.42551,4.73743,2.4024,0.000928307,0.000928307,0.000928307
42,18.4385,2.30264,2.62454,2.22141,0.66667,0.04955,0.31454,0.21039,2.44639,4.79801,2.41415,0.000945357,0.000945357,0.000945357
43,18.8441,2.26674,2.76147,2.22975,0.80332,0.08351,0.31029,0.21161,2.39647,4.74686,2.3676,0.000962124,0.000962124,0.000962124
44,19.5151,2.3025,2.66767,2.20399,0.84107,0.11672,0.34599,0.23158,2.37287,4.61266,2.37276,0.000978608,0.000978608,0.000978608
45,19.9081,2.11648,2.61408,2.18966,0.645,0.19403,0.40285,0.25042,2.38302,4.34833,2.32764,0.00099481,0.00099481,0.00099481
46,20.3037,2.23882,2.48073,2.19326,0.59097,0.21818,0.41456,0.23482,2.51756,4.19335,2.40052,0.00101073,0.00101073,0.00101073
47,20.7002,2.18064,2.53063,2.15288,0.72715,0.33658,0.44977,0.25767,2.55756,3.82378,2.43648,0.00102636,0.00102636,0.00102636
48,21.1145,2.36514,2.53812,2.27487,0.82634,0.28928,0.50601,0.32254,2.36025,3.48728,2.43474,0.00104172,0.00104172,0.00104172
49,21.5675,2.2482,2.45816,2.16113,0.74422,0.28084,0.50165,0.33574,2.35175,3.52688,2.46163,0.00105679,0.00105679,0.00105679
50,21.9857,2.22038,2.54534,2.1781,0.67514,0.2496,0.506,0.32773,2.41572,3.68852,2.46314,0.00107157,0.00107157,0.00107157
51,22.4674,2.26208,2.43874,2.18039,0.52983,0.26315,0.4698,0.3023,2.43474,3.79692,2.41262,0.00107532,0.00107532,0.00107532
52,22.8684,2.15838,2.36928,2.10108,0.66147,0.33996,0.45368,0.26863,2.70826,3.88365,2.60298,0.00106825,0.00106825,0.00106825
53,23.275,2.26164,2.42002,2.17255,0.55089,0.30171,0.44611,0.25901,2.73723,4.00485,2.57985,0.00106118,0.00106118,0.00106118
54,23.67,2.13369,2.48258,2.20194,0.56468,0.32317,0.44012,0.258,2.73839,3.88697,2.55382,0.0010541,0.0010541,0.0010541
55,24.0717,2.24658,2.38431,2.17174,0.4831,0.25576,0.39538,0.23206,2.70382,4.05913,2.55103,0.00104703,0.00104703,0.00104703
56,24.4684,2.31643,2.49532,2.2549,0.49014,0.30213,0.37119,0.2328,2.58391,3.99576,2.52925,0.00103995,0.00103995,0.00103995
57,24.8656,2.12298,2.26982,2.10078,0.53049,0.32839,0.40245,0.24046,2.7163,3.6215,2.64082,0.00103288,0.00103288,0.00103288
58,25.2603,2.16859,2.19293,2.13759,0.55301,0.35705,0.41418,0.26998,2.57707,3.16755,2.58704,0.00102581,0.00102581,0.00102581
59,25.746,2.11053,2.31088,2.16546,0.51573,0.42747,0.44078,0.28732,2.45176,2.98625,2.52479,0.00101873,0.00101873,0.00101873
60,26.1484,2.10741,2.25544,2.19281,0.63311,0.36747,0.48243,0.32134,2.36867,2.83159,2.4527,0.00101166,0.00101166,0.00101166
