epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.96255,0.97406,0.71335,1.07216,0.8204,0.74198,0.77238,0.53238,0.89113,0.70977,1.00956,6.666e-05,6.666e-05,6.666e-05
2,4.37203,0.93054,0.66012,1.04488,0.76321,0.76394,0.78331,0.53475,0.90266,0.67437,1.01453,0.000134898,0.000134898,0.000134898
3,5.82708,0.91741,0.65866,1.04154,0.75239,0.75798,0.77502,0.51209,0.96884,0.68625,1.0395,0.00019287,0.00019287,0.00019287
4,7.10725,0.89975,0.65119,1.03454,0.71251,0.78978,0.77273,0.51648,0.94549,0.67539,1.02308,0.000240576,0.000240576,0.000240576
5,8.40627,0.91145,0.65774,1.03943,0.80493,0.71943,0.7677,0.51993,0.9104,0.6658,1.01015,0.000278017,0.000278017,0.000278017
6,10.3916,0.92361,0.64395,1.04566,0.7931,0.71823,0.76688,0.51181,0.93482,0.67342,1.01988,0.000305192,0.000305192,0.000305192
7,11.7252,0.96125,0.63618,1.04511,0.76875,0.7627,0.76489,0.51913,0.91781,0.67345,1.01846,0.000322101,0.000322101,0.000322101
8,13.0139,0.91454,0.61734,1.01648,0.73928,0.75089,0.7562,0.51737,0.88491,0.66897,1.00621,0.000328745,0.000328745,0.000328745
9,14.3119,0.90378,0.6155,1.03857,0.72795,0.75884,0.75705,0.52165,0.87652,0.68176,1.00407,0.000325123,0.000325123,0.000325123
10,15.5898,0.91121,0.6169,1.0396,0.73869,0.74628,0.75851,0.51929,0.87938,0.68856,1.00567,0.000311236,0.000311236,0.000311236
11,16.8732,0.89148,0.60392,1.00823,0.73705,0.73906,0.75819,0.52053,0.8809,0.69249,1.00566,0.000287082,0.000287082,0.000287082
12,18.1976,0.88597,0.60714,1.03189,0.76214,0.74858,0.76097,0.51923,0.88097,0.67704,1.0057,0.000252664,0.000252664,0.000252664
13,19.4537,0.8657,0.60463,1.00604,0.74553,0.75443,0.76193,0.51589,0.87958,0.67464,1.00516,0.000207979,0.000207979,0.000207979
14,20.728,0.90225,0.61423,1.01674,0.72986,0.75387,0.76256,0.51424,0.88507,0.6704,1.00719,0.000153029,0.000153029,0.000153029
15,22.043,0.8672,0.58694,1.02333,0.81754,0.75375,0.76862,0.51514,0.88556,0.66712,1.00753,8.4436e-05,8.4436e-05,8.4436e-05
