epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.162848,3.36853,6.67755,2.88743,0.00169,0.125,0.00179,0.00025,2.24149,4.02082,1.96373,0,0,0
2,0.45202,3.08803,4.87792,2.88977,0.0017,0.125,0.00185,0.00019,2.24641,4.04806,1.97586,1.38184e-05,1.38184e-05,1.38184e-05
3,1.02463,3.09312,4.34749,2.75305,0.00169,0.125,0.00187,0.00019,2.23717,4.08238,1.96016,2.66937e-05,2.66937e-05,2.66937e-05
4,1.30566,2.9429,4.8649,2.55745,0.00085,0.0625,0.00069,7e-05,2.2822,4.05218,1.98318,3.86259e-05,3.86259e-05,3.86259e-05
5,1.57152,2.59093,5.65896,2.52779,0.00085,0.0625,0.0007,7e-05,2.28406,4.05725,1.99174,4.96149e-05,4.96149e-05,4.96149e-05
6,1.83971,2.77343,4.26539,2.71073,0,0,0,0,2.24403,4.05711,1.96164,5.96608e-05,5.96608e-05,5.96608e-05
7,2.29086,3.09227,4.38648,3.14218,0.00085,0.0625,0.00059,6e-05,2.26342,4.06743,2.01036,6.87635e-05,6.87635e-05,6.87635e-05
8,2.7229,2.35756,5.39427,2.36061,0,0,0,0,2.31027,4.01182,2.01518,7.69231e-05,7.69231e-05,7.69231e-05
9,3.15497,2.70133,4.13192,2.65441,0,0,0,0,2.32353,3.97839,2.03567,8.41395e-05,8.41395e-05,8.41395e-05
10,3.60522,3.04764,4.41546,2.79518,0.00086,0.0625,0.00078,8e-05,2.34004,3.94458,2.04715,9.04128e-05,9.04128e-05,9.04128e-05
11,4.03858,3.05871,4.63829,2.76341,0.00085,0.0625,0.00079,8e-05,2.33804,3.94714,2.053,9.5743e-05,9.5743e-05,9.5743e-05
12,4.47022,3.15493,6.18418,2.98864,0.00086,0.0625,0.00082,0.00016,2.35167,3.91963,2.06171,0.00010013,0.00010013,0.00010013
13,4.92915,3.16152,5.02371,2.96156,0.00171,0.125,0.0014,0.00044,2.36322,3.90509,2.08962,0.000103574,0.000103574,0.000103574
14,5.4502,2.46124,4.6954,2.52595,0.00256,0.1875,0.00206,0.00087,2.37695,3.87882,2.11291,0.000106075,0.000106075,0.000106075
15,6.00945,2.67698,4.14916,2.53437,0.00255,0.1875,0.0025,0.0011,2.37987,3.83991,2.11485,0.000107632,0.000107632,0.000107632
16,6.57489,2.97181,3.96765,2.93114,0.00256,0.1875,0.00314,0.00135,2.36092,3.80316,2.1115,0.000108247,0.000108247,0.000108247
17,7.26458,2.81077,4.58915,2.68173,0.00253,0.1875,0.00333,0.00153,2.41967,3.78232,2.17872,0.000107918,0.000107918,0.000107918
18,7.83401,2.50067,4.41135,2.13376,0.00253,0.1875,0.00478,0.00238,2.45397,3.73901,2.21182,0.000106646,0.000106646,0.000106646
19,8.4041,2.45687,4.04166,2.56083,0.00254,0.1875,0.00735,0.00385,2.48117,3.69561,2.25361,0.000104431,0.000104431,0.000104431
20,8.94211,2.40886,4.1237,2.08706,0.0025,0.1875,0.01371,0.00653,2.47155,3.66269,2.24668,0.000101273,0.000101273,0.000101273
21,9.96103,2.4318,4.50609,2.15707,0.00249,0.1875,0.02443,0.014,2.46595,3.64095,2.21665,9.7172e-05,9.7172e-05,9.7172e-05
22,10.6084,2.37823,4.90573,2.17925,0.0025,0.1875,0.02466,0.01409,2.45129,3.62194,2.19112,9.21276e-05,9.21276e-05,9.21276e-05
23,11.1422,2.01978,4.04039,1.86956,0.00248,0.1875,0.02479,0.01421,2.46932,3.60214,2.19299,8.61401e-05,8.61401e-05,8.61401e-05
24,11.7216,3.05269,4.65462,2.35659,0.00247,0.1875,0.01971,0.01118,2.4535,3.60466,2.15441,7.92095e-05,7.92095e-05,7.92095e-05
25,12.159,2.34959,4.16169,2.10554,0.00245,0.1875,0.0199,0.01125,2.45281,3.60295,2.15027,7.13357e-05,7.13357e-05,7.13357e-05
26,12.6239,2.18264,4.12823,2.0757,0.00245,0.1875,0.01995,0.01129,2.45179,3.58191,2.14409,6.25187e-05,6.25187e-05,6.25187e-05
27,13.0575,2.08875,4.02811,2.12593,0.00245,0.1875,0.01999,0.00979,2.448,3.56297,2.14025,5.27587e-05,5.27587e-05,5.27587e-05
28,13.4966,2.47654,4.27022,2.01171,0.00245,0.1875,0.02012,0.01143,2.43479,3.55944,2.14107,4.20555e-05,4.20555e-05,4.20555e-05
29,14.1212,2.58514,4.02744,2.10323,0.00242,0.1875,0.02025,0.0117,2.43738,3.55022,2.13808,3.04091e-05,3.04091e-05,3.04091e-05
30,14.561,2.5669,4.24263,2.31206,0.00242,0.1875,0.02055,0.01191,2.4497,3.54523,2.15119,1.78196e-05,1.78196e-05,1.78196e-05
1,0.16571,1.44054,2.33306,1.18324,0.48407,0.47917,0.58028,0.3271,1.55279,2.54049,1.48105,0,0,0
2,0.474653,1.97449,2.48384,1.63159,0.48288,0.47917,0.578,0.32612,1.55856,2.53667,1.48336,1.40724e-05,1.40724e-05,1.40724e-05
3,1.06284,1.7976,2.10245,1.45249,0.48231,0.47917,0.5766,0.31059,1.5605,2.53291,1.48865,2.77094e-05,2.77094e-05,2.77094e-05
4,1.33148,1.651,1.84685,1.3899,0.47441,0.47917,0.57892,0.32295,1.56758,2.51843,1.49322,4.09112e-05,4.09112e-05,4.09112e-05
5,1.75254,1.22919,2.35758,1.31322,0.46959,0.47917,0.57889,0.3212,1.55949,2.50468,1.49192,5.36776e-05,5.36776e-05,5.36776e-05
6,2.18936,1.63214,2.04834,1.5068,0.45423,0.47917,0.57562,0.32107,1.56121,2.50033,1.49267,6.60088e-05,6.60088e-05,6.60088e-05
7,2.65582,1.86116,2.40808,1.76381,0.51094,0.51547,0.57601,0.32154,1.55866,2.5145,1.49198,7.79047e-05,7.79047e-05,7.79047e-05
8,3.09404,1.29682,3.06625,1.49301,0.44465,0.47917,0.5769,0.32235,1.55947,2.51892,1.49046,8.93653e-05,8.93653e-05,8.93653e-05
9,3.52455,1.51589,1.74002,1.47701,0.45423,0.54167,0.56931,0.32381,1.55659,2.50765,1.48631,0.000100391,0.000100391,0.000100391
10,3.98861,1.65099,1.61847,1.45864,0.47984,0.57063,0.57656,0.33166,1.55035,2.52532,1.48358,0.000110981,0.000110981,0.000110981
11,4.50995,1.77124,1.93381,1.47775,0.58575,0.58367,0.57737,0.32906,1.54117,2.54188,1.48104,0.000121135,0.000121135,0.000121135
12,4.97514,1.59346,2.43055,1.49941,0.61698,0.60417,0.57831,0.32977,1.52945,2.54917,1.46987,0.000130855,0.000130855,0.000130855
