epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,11.0274,3.02809,4.78353,2.73277,0.5535,0.23787,0.40421,0.22534,3.04577,4.25058,2.65503,0.000909558,0.000909558,0.000909558
13,11.8605,3.18,4.82751,2.88382,0.49023,0.28146,0.38356,0.2283,2.85871,4.12268,2.63317,0.00091456,0.00091456,0.00091456
14,12.6845,3.1111,4.88679,2.86398,0.41681,0.24692,0.3298,0.16381,3.31599,4.56578,2.95423,0.00087169,0.00087169,0.00087169
15,13.4978,3.16826,4.86291,2.8166,0.49384,0.36512,0.39581,0.22635,3.02315,4.22913,2.7809,0.00082882,0.00082882,0.00082882
16,14.3073,3.2409,4.83789,2.87739,0.46303,0.38156,0.40195,0.22316,3.18332,4.05702,2.86441,0.00078595,0.00078595,0.00078595
17,15.1302,3.0933,4.4753,2.80102,0.46625,0.41743,0.40203,0.22952,2.9523,3.6864,2.77262,0.00074308,0.00074308,0.00074308
18,16.0615,3.05318,4.68764,2.78548,0.48613,0.38926,0.43529,0.26567,2.8314,3.51377,2.66573,0.00070021,0.00070021,0.00070021
19,16.8925,3.01145,4.56999,2.79978,0.43285,0.40018,0.4065,0.24568,2.97804,3.50572,2.70267,0.00065734,0.00065734,0.00065734
20,17.7054,3.06631,4.60712,2.79725,0.38182,0.41383,0.37212,0.23313,2.85973,3.44861,2.61398,0.00061447,0.00061447,0.00061447
21,19.079,2.53412,5.79484,2.45426,0.40825,0.41357,0.36403,0.21375,2.93586,3.5291,2.61935,0.0005716,0.0005716,0.0005716
22,19.8542,2.52547,5.415,2.43801,0.5714,0.39648,0.35899,0.20423,2.93363,3.76617,2.63157,0.00052873,0.00052873,0.00052873
23,20.6192,2.48924,5.11302,2.45326,0.58274,0.36273,0.39653,0.23179,2.7982,3.65321,2.57267,0.00048586,0.00048586,0.00048586
24,21.4925,2.41559,5.05931,2.41927,0.5956,0.40731,0.41485,0.25244,2.7709,3.48518,2.54664,0.00044299,0.00044299,0.00044299
25,22.2494,2.41995,4.70768,2.36331,0.51423,0.45286,0.42332,0.23789,2.8908,3.57045,2.62365,0.00040012,0.00040012,0.00040012
26,23.0148,2.34251,4.70801,2.38485,0.46992,0.42869,0.42962,0.24783,2.91018,3.39006,2.65255,0.00035725,0.00035725,0.00035725
27,23.7984,2.28276,4.63148,2.37674,0.53143,0.42242,0.43478,0.2603,2.77485,3.28251,2.61112,0.00031438,0.00031438,0.00031438
28,24.5478,2.28942,4.60223,2.32321,0.51462,0.41024,0.45294,0.26282,2.72841,3.20668,2.58689,0.00027151,0.00027151,0.00027151
29,25.3095,2.265,4.51931,2.35672,0.53255,0.37056,0.46848,0.27132,2.82863,3.24332,2.5956,0.00022864,0.00022864,0.00022864
30,26.0963,2.31336,4.51834,2.33176,0.61038,0.36465,0.46322,0.27032,2.85936,3.37724,2.58817,0.00018577,0.00018577,0.00018577
1,1.39781,4.22872,8.14076,3.81379,0.00589,0.21116,0.01082,0.00466,2.6012,7.04381,2.52023,0.00010003,0.00010003,0.00010003
2,2.30283,3.88735,7.94013,3.56118,0.01099,0.36014,0.03983,0.01961,2.9834,6.77193,2.47253,0.000207919,0.000207919,0.000207919
3,3.31226,3.3917,7.20072,3.04126,0.01775,0.49279,0.08913,0.0506,3.02043,6.70392,2.48029,0.00030895,0.00030895,0.00030895
4,4.18811,3.47457,6.86504,3.01818,0.01706,0.5573,0.11694,0.06837,2.87727,6.49671,2.53025,0.000403121,0.000403121,0.000403121
5,5.0715,3.47275,6.41333,2.92959,0.01446,0.52643,0.15429,0.08787,3.06433,6.44476,2.53483,0.000490433,0.000490433,0.000490433
6,5.95638,3.34507,6.03205,2.88859,0.01031,0.38437,0.11307,0.0601,2.94222,6.67926,2.70027,0.000570885,0.000570885,0.000570885
7,6.79953,3.43985,5.84478,2.97418,0.01399,0.52375,0.14624,0.07524,3.00149,6.35741,2.63595,0.000644479,0.000644479,0.000644479
8,7.6218,3.29782,5.73769,2.8833,0.01612,0.59104,0.16508,0.08495,2.93989,6.15481,2.56415,0.000711213,0.000711213,0.000711213
9,8.58565,3.22103,5.55795,2.81275,0.0187,0.70155,0.21908,0.10998,2.90202,5.91238,2.59773,0.000771088,0.000771088,0.000771088
10,9.41106,3.18322,5.16578,2.83149,0.02158,0.77933,0.30192,0.14551,2.9522,5.65396,2.63759,0.000824104,0.000824104,0.000824104
11,10.248,3.24822,4.97301,2.81541,0.45238,0.13144,0.31243,0.14865,3.49157,4.85739,2.90146,0.000870261,0.000870261,0.000870261
12,11.0721,3.02809,4.78353,2.73277,0.5535,0.23787,0.40421,0.22534,3.04577,4.25058,2.65503,0.000909558,0.000909558,0.000909558
13,11.9037,3.18,4.82751,2.88382,0.49023,0.28146,0.38356,0.2283,2.85871,4.12268,2.63317,0.00091456,0.00091456,0.00091456
14,12.7225,3.1111,4.88679,2.86398,0.41681,0.24692,0.3298,0.16381,3.31599,4.56578,2.95423,0.00087169,0.00087169,0.00087169
15,13.6465,3.16826,4.86291,2.8166,0.49384,0.36512,0.39581,0.22635,3.02315,4.22913,2.7809,0.00082882,0.00082882,0.00082882
16,14.4604,3.2409,4.83789,2.87739,0.46303,0.38156,0.40195,0.22316,3.18332,4.05702,2.86441,0.00078595,0.00078595,0.00078595
17,15.2831,3.0933,4.4753,2.80102,0.46625,0.41743,0.40203,0.22952,2.9523,3.6864,2.77262,0.00074308,0.00074308,0.00074308
18,16.1174,3.05318,4.68764,2.78548,0.48613,0.38926,0.43529,0.26567,2.8314,3.51377,2.66573,0.00070021,0.00070021,0.00070021
19,16.9379,3.01145,4.56999,2.79978,0.43285,0.40018,0.4065,0.24568,2.97804,3.50572,2.70267,0.00065734,0.00065734,0.00065734
20,17.7515,3.06631,4.60712,2.79725,0.38182,0.41383,0.37212,0.23313,2.85973,3.44861,2.61398,0.00061447,0.00061447,0.00061447
21,19.2126,2.53412,5.79484,2.45426,0.40825,0.41357,0.36403,0.21375,2.93586,3.5291,2.61935,0.0005716,0.0005716,0.0005716
22,19.9858,2.52547,5.415,2.43801,0.5714,0.39648,0.35899,0.20423,2.93363,3.76617,2.63157,0.00052873,0.00052873,0.00052873
