epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.60639,2.25494,4.15412,2.07165,0.00248,0.1875,0.02479,0.01426,2.47091,3.59896,2.19012,0,0,0
2,0.919857,2.34223,4.33532,2.07796,0.00248,0.1875,0.02493,0.01216,2.46184,3.59918,2.17343,1.28753e-05,1.28753e-05,1.28753e-05
3,1.56609,2.15764,4.15725,2.08246,0.00246,0.1875,0.02484,0.01207,2.47704,3.59721,2.18483,2.29212e-05,2.29212e-05,2.29212e-05
4,1.83843,1.65511,4.30213,1.60868,0.00246,0.1875,0.02491,0.01434,2.48188,3.59009,2.18923,3.01376e-05,3.01376e-05,3.01376e-05
5,2.15872,2.32047,4.22605,2.06996,0.73109,0.05777,0.0355,0.02071,2.4911,3.58323,2.20423,3.45246e-05,3.45246e-05,3.45246e-05
6,2.68337,2.30974,4.03449,2.08996,0.73239,0.0581,0.03581,0.02087,2.50772,3.58142,2.22916,3.60822e-05,3.60822e-05,3.60822e-05
7,3.22734,2.25578,4.04688,2.08928,0.73313,0.05828,0.03588,0.01751,2.50706,3.58735,2.25111,3.48104e-05,3.48104e-05,3.48104e-05
8,3.67029,2.11718,4.14117,2.01858,0.00355,0.1875,0.0259,0.0125,2.49511,3.5853,2.24781,3.07092e-05,3.07092e-05,3.07092e-05
9,4.11096,2.36619,4.16272,2.07736,0.00705,0.1875,0.02622,0.01271,2.48335,3.57906,2.24233,2.37786e-05,2.37786e-05,2.37786e-05
10,4.55897,2.35122,3.98685,2.2761,0.01257,0.1875,0.02635,0.0128,2.48176,3.58578,2.23529,1.40185e-05,1.40185e-05,1.40185e-05
1,0.15315,1.32326,1.26839,1.17821,0.45716,0.625,0.64103,0.37552,1.54655,2.31611,1.4048,0,0,0
2,0.49431,1.31843,1.26333,1.215,0.5205,0.53856,0.64128,0.3704,1.54464,2.3205,1.40628,1.33469e-05,1.33469e-05,1.33469e-05
3,1.10721,1.42532,1.47027,1.28889,0.52319,0.54008,0.64276,0.36849,1.55483,2.30646,1.40688,2.48074e-05,2.48074e-05,2.48074e-05
4,1.38121,1.23472,1.31425,1.21813,0.55725,0.59048,0.62031,0.35058,1.55238,2.28652,1.4038,3.43817e-05,3.43817e-05,3.43817e-05
5,1.82014,1.13765,1.16468,1.16908,0.53448,0.65188,0.62343,0.34907,1.55315,2.25028,1.39944,4.20698e-05,4.20698e-05,4.20698e-05
6,2.76851,1.41774,1.58881,1.2476,0.53539,0.64566,0.62283,0.34882,1.55565,2.25544,1.40294,4.78715e-05,4.78715e-05,4.78715e-05
7,3.29145,1.15918,1.33979,1.22326,0.54573,0.67791,0.62204,0.34823,1.55276,2.23798,1.39506,5.1787e-05,5.1787e-05,5.1787e-05
8,3.74562,1.61591,1.5299,1.28182,0.55961,0.68721,0.62249,0.35794,1.55184,2.20372,1.39417,5.38161e-05,5.38161e-05,5.38161e-05
9,4.18123,1.10614,1.21087,1.11398,0.55362,0.6875,0.62964,0.366,1.54648,2.20418,1.39805,5.3959e-05,5.3959e-05,5.3959e-05
10,4.65061,1.36363,1.18363,1.18795,0.558,0.6875,0.62978,0.36761,1.54444,2.18535,1.40293,5.22157e-05,5.22157e-05,5.22157e-05
11,5.08984,1.40577,1.15392,1.20465,0.5633,0.6875,0.62938,0.36765,1.54164,2.1778,1.40735,4.8586e-05,4.8586e-05,4.8586e-05
12,5.52804,1.2087,1.22949,1.27177,0.56565,0.6875,0.62485,0.3757,1.54265,2.1844,1.40717,4.30701e-05,4.30701e-05,4.30701e-05
13,5.999,1.23822,1.30355,1.25452,0.63388,0.68736,0.62514,0.36482,1.55817,2.18591,1.40747,3.56678e-05,3.56678e-05,3.56678e-05
14,6.44446,1.17025,1.50007,1.25129,0.63229,0.68157,0.62439,0.37291,1.55657,2.18555,1.40773,2.63793e-05,2.63793e-05,2.63793e-05
15,7.09485,1.17517,1.23795,1.21935,0.54531,0.60417,0.61258,0.36805,1.56217,2.18487,1.40749,1.52046e-05,1.52046e-05,1.52046e-05
1,0.149298,1.22946,1.28285,1.08299,0.75767,0.66667,0.71202,0.42883,1.64282,1.79605,1.34893,0,0,0
2,0.491679,1.20333,1.10491,1.0861,0.76635,0.66667,0.71078,0.42399,1.65089,1.80118,1.34444,1.33469e-05,1.33469e-05,1.33469e-05
3,0.754267,1.24577,1.23187,1.114,0.80809,0.65469,0.70906,0.42273,1.6389,1.84187,1.33022,2.48074e-05,2.48074e-05,2.48074e-05
4,1.40152,1.31564,1.30375,1.20694,0.83735,0.63932,0.70386,0.4166,1.64563,1.84448,1.33026,3.43817e-05,3.43817e-05,3.43817e-05
5,1.68469,1.00453,0.93671,1.05476,0.81512,0.63157,0.71261,0.41808,1.63979,1.85521,1.33026,4.20698e-05,4.20698e-05,4.20698e-05
6,2.50817,1.36096,1.39002,1.25091,0.68779,0.75,0.71023,0.46381,1.40181,1.63771,1.2736,4.78715e-05,4.78715e-05,4.78715e-05
7,3.14375,1.12401,1.04926,1.11748,0.75311,0.72085,0.72917,0.46894,1.3462,1.63708,1.25495,5.1787e-05,5.1787e-05,5.1787e-05
8,3.70398,1.53817,1.14821,1.22662,0.74923,0.70603,0.71676,0.46356,1.35316,1.65169,1.25665,5.38161e-05,5.38161e-05,5.38161e-05
9,4.16718,1.06176,0.9951,1.01493,0.59568,0.75,0.66624,0.42836,1.34496,1.62101,1.26986,5.3959e-05,5.3959e-05,5.3959e-05
10,4.6203,1.24153,0.95669,1.05707,0.57669,0.76971,0.67778,0.44199,1.35782,1.63555,1.27367,5.22157e-05,5.22157e-05,5.22157e-05
11,5.04594,1.14556,0.90737,1.05301,0.59921,0.74628,0.69346,0.43882,1.37811,1.64737,1.2748,4.8586e-05,4.8586e-05,4.8586e-05
12,5.51895,1.29697,0.91517,1.22652,0.63822,0.80477,0.7075,0.45896,1.41121,1.61832,1.27127,4.30701e-05,4.30701e-05,4.30701e-05
13,5.9759,1.11609,0.90665,1.12218,0.62835,0.80214,0.69621,0.44757,1.46028,1.60528,1.29001,3.56678e-05,3.56678e-05,3.56678e-05
14,6.42208,1.05426,1.06774,1.10673,0.67535,0.70267,0.69874,0.42949,1.48847,1.599,1.30219,2.63793e-05,2.63793e-05,2.63793e-05
15,6.89555,0.98991,0.83375,1.11628,0.65334,0.75,0.70123,0.43163,1.49796,1.58034,1.31006,1.52046e-05,1.52046e-05,1.52046e-05
1,0.14268,1.38068,1.16991,1.2698,0.4767,0.6875,0.66503,0.39745,1.52492,2.49239,1.4089,0,0,0
2,0.452233,1.36533,1.10951,1.24982,0.47486,0.6875,0.6574,0.39931,1.52644,2.48084,1.40681,1.03767e-05,1.03767e-05,1.03767e-05
3,0.739083,1.51459,1.28084,1.38739,0.47225,0.6875,0.65704,0.39918,1.53179,2.46379,1.40671,1.9287e-05,1.9287e-05,1.9287e-05
4,1.38427,1.28389,1.09162,1.28415,0.47,0.6875,0.65755,0.39485,1.53617,2.43188,1.41468,2.67307e-05,2.67307e-05,2.67307e-05
5,1.81393,1.19496,1.04415,1.21041,0.48225,0.6875,0.66561,0.40178,1.54914,2.40461,1.42497,3.27078e-05,3.27078e-05,3.27078e-05
6,2.94699,1.49051,1.29466,1.32866,0.46582,0.7048,0.65866,0.3951,1.5456,2.38919,1.41547,3.72185e-05,3.72185e-05,3.72185e-05
1,2.20654,0.82746,0.55064,0.98395,0.81459,0.80812,0.85046,0.60581,1.03217,0.68735,1.0424,0.00013332,0.00013332,0.00013332
2,5.22754,0.83188,0.52844,0.98834,0.81022,0.83813,0.84966,0.60416,1.04008,0.69819,1.04953,0.000259419,0.000259419,0.000259419
3,7.6597,0.82726,0.52448,0.99563,0.76967,0.8378,0.83203,0.5976,1.02951,0.71688,1.05092,0.000366452,0.000366452,0.000366452
4,10.0792,0.83141,0.52351,0.99007,0.74696,0.82973,0.82773,0.59115,1.02739,0.72104,1.0538,0.000454421,0.000454421,0.000454421
5,12.5164,0.81152,0.51152,0.97872,0.78413,0.80631,0.83759,0.59643,1.03615,0.71448,1.05509,0.000523325,0.000523325,0.000523325
